VendorNumber,VendorName,Brand,PurchasePrice,ActualPrice,Volume,TotalPurchaseQuantity,TotalPurchaseDollars,Description,TotalSalesQuantity,TotalSalesPrice,TotalSalesDollars,TotalExciseTax,FreightCost,GrossProfit,ProfitMargin,StockTurnover,SalestoPurchaseRatio,UnitPurchasePrice,OrderSize,UnsoldInventoryValue
1128,BROWN-FORMAN CORP,1233,26.27,36.99,1750.0,145080.0,3811251.600000111,Jack Daniels No 7 Black,142049.0,672819.3099999529,5101919.50999974,260999.19999999274,68601.68000000001,1290667.909999629,25.297692514943158,0.9791080783016267,1.338646734841539,26.270000000000763,large,79624.37
4425,MARTIGNETTI COMPANIES,3405,23.19,28.99,1750.0,164038.0,3804041.2199999536,Tito's Handmade Vodka,160247.0,561512.3699999759,4819073.48999981,294438.6599999952,144929.24,1015032.2699998566,21.06280952357704,0.9768895012131336,1.266829987189221,23.189999999999717,large,87913.29000000001
17035,PERNOD RICARD USA,8068,18.24,24.99,1750.0,187407.0,3418303.680000034,Absolut 80 Proof,187140.0,461140.15,4538120.599999798,343854.06999999715,123780.21999999997,1119816.9199997643,24.67578583080877,0.9985752933454993,1.327594334743177,18.240000000000183,large,4870.08
3960,DIAGEO NORTH AMERICA INC,4261,16.17,22.99,1750.0,201682.0,3261197.94000002,Capt Morgan Spiced Rum,200412.0,420050.0100000094,4475972.879999837,368242.79999999475,257032.07000000007,1214774.939999817,27.139908408021036,0.9937029581221923,1.3724934709114311,16.170000000000098,large,20535.9
3960,DIAGEO NORTH AMERICA INC,3545,21.89,29.99,1750.0,138109.0,3023206.0099999965,Ketel One Vodka,135838.0,545778.2799999837,4223107.619999808,249587.82999999082,257032.07000000007,1199901.6099998117,28.412764200403355,0.9835564662693959,1.3968970708680926,21.889999999999976,large,49712.19
480,BACARDI USA INC,3858,17.77,23.99,750.0,138809.0,2466635.930000039,Grey Goose Vodka,141860.0,446932.09000000515,3383912.3999998383,111699.19000000315,89286.26999999999,917276.4699997995,27.106980369818185,1.0219798428055817,1.3718734730340951,17.77000000000028,large,-54216.27
17035,PERNOD RICARD USA,2589,30.76,39.99,1750.0,70783.0,2177285.0800000825,Jameson Irish Whiskey,69627.0,614529.3399999689,2773367.7299998887,127931.66999999603,123780.21999999997,596082.6499998062,21.493098212397175,0.9836683949535906,1.2737733590677909,30.760000000001167,large,35558.560000000005
3960,DIAGEO NORTH AMERICA INC,3102,12.94,17.99,1750.0,161386.0,2088334.8399999859,Smirnoff Traveler,148265.0,292586.2900000211,2592041.3499999354,272422.5999999961,257032.07000000007,503706.5099999495,19.43281151745369,0.9186980283295949,1.2412000701956172,12.939999999999912,large,169785.74
3960,DIAGEO NORTH AMERICA INC,3489,20.73,27.99,1750.0,91835.0,1903739.5499999446,Tanqueray,90481.0,503661.0199999952,2640491.189999871,166244.4399999908,257032.07000000007,736751.6399999263,27.902067720966805,0.9852561659498013,1.3870023291788773,20.729999999999396,large,28068.420000000002
12546,JIM BEAM BRANDS COMPANY,1376,16.29,21.99,1750.0,108866.0,1773427.139999997,Jim Beam,107061.0,426902.7800000108,2435393.3899999084,196707.34999999293,123880.96999999999,661966.2499999113,27.18108099981072,0.9834199842007606,1.3732694933268657,16.289999999999974,large,29403.449999999997
17035,PERNOD RICARD USA,2585,16.42,22.99,750.0,93205.0,1530426.1000000215,Jameson Irish Whiskey,91247.0,436011.6400000114,2148965.5299998904,71840.57000000247,123780.21999999997,618539.4299998689,28.78312478096847,0.9789925433184915,1.404161579575688,16.42000000000023,large,32150.360000000004
3960,DIAGEO NORTH AMERICA INC,2757,22.38,29.99,1750.0,66942.0,1498161.9600000305,Johnnie Walker Red Label,61433.0,442856.2000000077,1840615.6699999229,112875.1899999956,257032.07000000007,342453.7099998924,18.60538924999518,0.917704878850348,1.228582569270338,22.380000000000454,large,123291.42
480,BACARDI USA INC,2663,21.42,29.99,1750.0,69001.0,1478001.420000022,Dewars White Label,70122.0,495957.82999999734,2189368.779999907,128839.07999999402,89286.26999999999,711367.3599998851,32.491892937283744,1.0162461413602701,1.4813035700600845,21.420000000000318,large,-24011.820000000003
10000,MAJESTIC FINE WINES,6570,6.77,10.99,750.0,215668.0,1460072.3599999887,Kendall Jackson Chard Vt RSV,214238.0,189608.95999999775,2326007.7799999337,24083.770000000153,17587.59,865935.419999945,37.228397404585195,0.9933694382105829,1.593077058180837,6.769999999999947,large,9681.099999999999
9165,ULTRA BEVERAGE COMPANY LLP,3650,33.81,48.99,750.0,42951.0,1452173.3099999838,Patron Silver Tequila,41639.0,662320.0399999674,2009508.6099999042,32783.09000000042,68054.70000000003,557335.2999999204,27.734904803415944,0.9694535633629019,1.3837939288389254,33.80999999999962,large,44358.72
